Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ylma Cake's],Price [Ylma Cake's],In stock [Ylma Cake's],Low stock [Ylma Cake's]
roska-de-acerola,10103,Roska de Acerola,Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
roska-de-kiwi,10080,Roska de Kiwi,Bebidas,,N,,,,,,,0.00,,,,N,Y,28.00,,
roska-de-limão,10078,Roska de Limão,Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
roska-de-maracujá,10100,Roska de Maracujá,Bebidas,,N,,,,,,,0.00,,,,N,Y,20.00,,
roska-de-morango,10079,Roska de Morango,Bebidas,,N,,,,,,,0.00,,,,N,Y,28.00,,
roska-de-tangerina,10102,Roska de Tangerina,Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
roska-de-umbu,10095,Roska de Umbu,Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
sanduíche-de-franga,10012,Sanduíche de Frango,Café da Manhã,"<p>P&atilde;o baguete, frango, bacon, calabresa, mussarela, tomate,alface e cebola</p>",N,,,,,,,0.00,,,,Y,Y,28.00,0.000,
sanduíche-de-picanha,10011,Sanduíche de Picanha,Café da Manhã,"<p>P&atilde;o baguete, picanha, bacon, requeij&atilde;o, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,N,Y,35.00,,
sanduíche-de-toscana,10010,Sanduíche de Toscana,Café da Manhã,"<p>P&atilde;o baguete, toscana, queijo, tomate, alface e cebola</p>",N,,,,,,,0.00,,,,Y,Y,22.00,0.000,
suco-de-abacaxi,10034,Suco de Abacaxi,Bebidas,,N,,,,,,,0.00,,,,N,Y,12.00,,
suco-de-frutas-(copo),10042,Suco de Frutas (copo),Bebidas,,N,,,,,,,0.00,,,,N,Y,15.00,,
suco-de-frutas-(jarra),10043,Suco de Frutas (jarra),Bebidas,,N,,,,,,,0.00,,,,N,Y,25.00,,
suco-de-laranja-(copo),10035,Suco de Laranja (copo),Bebidas,,N,,,,,,,0.00,,,,N,Y,10.00,,
suco-de-laranja-(jarra),10036,Suco de Laranja (jarra),Bebidas,,N,,,,,,,0.00,,,,N,Y,19.00,,
suco-de-limão,10037,Suco de Limão,Bebidas,,N,,,,,,,0.00,,,,N,Y,10.00,,
suco-de-limão-(jarra),10044,Suco de Limão (jarra),Bebidas,,N,,,,,,,0.00,,,,N,Y,18.00,,
suco-de-maracujá-(copo),10038,Suco de Maracujá (copo),Bebidas,,N,,,,,,,0.00,,,,N,Y,14.00,,
suco-de-maracujá-(jarra),10039,Suco de Maracujá (jarra),Bebidas,,N,,,,,,,0.00,,,,N,Y,25.00,,
suco-de-morango-(copo),10041,Suco de Morango (copo),Bebidas,,N,,,,,,,0.00,,,,N,Y,17.00,,
suco-de-morango-(jarra),10040,Suco de Morango (jarra),Bebidas,,N,,,,,,,0.00,,,,N,Y,30.00,,
suco-del-vale,10053,Suco Del Vale,Bebidas,,N,,,,,,,0.00,,,,N,Y,6.00,,
torta-(fatia),10055,Torta (fatia),Lanches,,N,,,,,,,0.00,,,,N,Y,18.00,,
vitamina-(diversas),10070,Vitamina (diversas),Lanches,,N,,,,,,,0.00,,,,N,Y,12.00,,
